Source,Target,Type,Weight
Ugwa-XbtdmxuSWQeXX14AaABAg,OMTszkzVSx4,Directed,1
UgyqhWN75JosbO1ievp4AaABAg,OMTszkzVSx4,Directed,1
UgyYaGnpX9qRDoRn0g94AaABAg,OMTszkzVSx4,Directed,1
Ugxwc-797FhPWtlMAUx4AaABAg,OMTszkzVSx4,Directed,1
UgxKME7fEIXAhqSzfyZ4AaABAg,OMTszkzVSx4,Directed,1
UgxATm39nGATDaq95Jl4AaABAg,OMTszkzVSx4,Directed,1
UgzvRSiT80bU4r1mJiR4AaABAg,OMTszkzVSx4,Directed,1
UgxLUUkH4FmXOXuj5hd4AaABAg,OMTszkzVSx4,Directed,1
UgzmrL84RwA9GeG_3ZB4AaABAg,OMTszkzVSx4,Directed,1
Ugyuxg1AFywV8mIl6TV4AaABAg,OMTszkzVSx4,Directed,1
Ugx6cnmpQjw4iLrzRsV4AaABAg,OMTszkzVSx4,Directed,1
UgyiXOK7VeL32i1EWut4AaABAg,OMTszkzVSx4,Directed,1
Ugzjw3uI8Jz-S-ZrKSZ4AaABAg,OMTszkzVSx4,Directed,1
UgxNPs5k1AP8xVQxBu14AaABAg,OMTszkzVSx4,Directed,1
UgzhdrtVALr6TIHL-st4AaABAg,OMTszkzVSx4,Directed,1
UgxXe1HtqxqjCg96vVF4AaABAg,OMTszkzVSx4,Directed,1
UgzLN5xU1A8xJ3DE9_N4AaABAg,OMTszkzVSx4,Directed,1
Ugzmt_OANgrtvO7bxz14AaABAg,OMTszkzVSx4,Directed,1
UgwtuEbvdjX486j36014AaABAg,OMTszkzVSx4,Directed,1
Ugzo8AJOIUHUE4akQ0l4AaABAg,OMTszkzVSx4,Directed,1
UgxckdT5zNauIaRW9R14AaABAg,OMTszkzVSx4,Directed,1
UgzwCd-FqAqaMbqJG7t4AaABAg,OMTszkzVSx4,Directed,1
UgyGtnDWUzo41A04Yz54AaABAg,OMTszkzVSx4,Directed,1
UgwCFLOlo2PvXzVPWrV4AaABAg,OMTszkzVSx4,Directed,1
UgwNELDU03MEyZc1kcN4AaABAg,OMTszkzVSx4,Directed,1
UgzRtpn3iurmq_6zlnp4AaABAg,OMTszkzVSx4,Directed,1
Ugy1sDV0v837uq6xGpl4AaABAg,OMTszkzVSx4,Directed,1
UgzPzzH7HdC8Zvm7N354AaABAg,OMTszkzVSx4,Directed,1
UgyVyNEKNTpcT0IZKoh4AaABAg,OMTszkzVSx4,Directed,1
UgzyUlE7BWdCKxbuwdN4AaABAg,OMTszkzVSx4,Directed,1
UgwzpESFXvh2YabA6W94AaABAg,OMTszkzVSx4,Directed,1
UgwB4zQQZXjnGJ5WX3B4AaABAg,OMTszkzVSx4,Directed,1
UgyQloR2l25mDJ-6PDJ4AaABAg,OMTszkzVSx4,Directed,1
UgzomQI_mP4WIVMKQrp4AaABAg,OMTszkzVSx4,Directed,1
Ugws0iN8DC6RNwuhMg54AaABAg,OMTszkzVSx4,Directed,1
UgyFjxUWgfIAkglMfSh4AaABAg,OMTszkzVSx4,Directed,1
Ugy6mRPStIujWN8JrTV4AaABAg,OMTszkzVSx4,Directed,1
UgxOmrcmvuREEOivMRZ4AaABAg,OMTszkzVSx4,Directed,1
UgybtxMKH_wQ5Z71IWd4AaABAg,OMTszkzVSx4,Directed,1
UgxHSNujvFCJmFQ6eIN4AaABAg,OMTszkzVSx4,Directed,1
Ugx2uKGXkPvkiGE7BHl4AaABAg,OMTszkzVSx4,Directed,1
UgwI1UdCE0mj6Hh5S114AaABAg,OMTszkzVSx4,Directed,1
UgzlxfHoLefg5-Wa1Sd4AaABAg,OMTszkzVSx4,Directed,1
UgxYSFgmh7_ol18O2QV4AaABAg,OMTszkzVSx4,Directed,1
Ugw9IgbDUUwtr7Gex3Z4AaABAg,OMTszkzVSx4,Directed,1
UgzYjH4_VpmfQe0auJ94AaABAg,OMTszkzVSx4,Directed,1
UgxNaEpKpymCn5QXldV4AaABAg,OMTszkzVSx4,Directed,1
UgynLSmjW7Dr7Jq4mKh4AaABAg,OMTszkzVSx4,Directed,1
UgwJIimeuh9OwUh-xI14AaABAg,OMTszkzVSx4,Directed,1
UgwAoqKc6bEmpcD6J5F4AaABAg,OMTszkzVSx4,Directed,1
UgxXISxZdP-CZuLyY4B4AaABAg,OMTszkzVSx4,Directed,1
UgzP7wxsCOzWDJ7anxZ4AaABAg,OMTszkzVSx4,Directed,1
UgwWYPEYfOZlXYeZKYd4AaABAg,OMTszkzVSx4,Directed,1
UgwrIs_fAW1SnnPJ_Nh4AaABAg,OMTszkzVSx4,Directed,1
Ugzd2zYHCTv4MQt-VyR4AaABAg,OMTszkzVSx4,Directed,1
UgzpikRremo1Tsg2eoJ4AaABAg,OMTszkzVSx4,Directed,1
UgzWZD5nqJ_b0aNNw-J4AaABAg,OMTszkzVSx4,Directed,1
UgyYvYtqmi-UfxCoiqJ4AaABAg,OMTszkzVSx4,Directed,1
UgwZQLotGJux0wFZyWd4AaABAg,OMTszkzVSx4,Directed,1
UgzxHhRpU1OXtcdJz694AaABAg,OMTszkzVSx4,Directed,1
Ugwp39302qqe2B-s5Xl4AaABAg,OMTszkzVSx4,Directed,1
UgyK_3aT32Szz9uv-qF4AaABAg,OMTszkzVSx4,Directed,1
Ugzhs9kQsMUlMWC7v-F4AaABAg,OMTszkzVSx4,Directed,1
Ugwlhw09aRjTujM961l4AaABAg,OMTszkzVSx4,Directed,1
Ugx_9op-nh72C-XlOtt4AaABAg,OMTszkzVSx4,Directed,1
UgxK5sptJWdzYju7zVJ4AaABAg,OMTszkzVSx4,Directed,1
UgxF41USj4fvv18VsHJ4AaABAg,OMTszkzVSx4,Directed,1
UgypibcL4oxkdoPJCwJ4AaABAg,OMTszkzVSx4,Directed,1
UgyPAQfEo3mhVnbIU7x4AaABAg,OMTszkzVSx4,Directed,1
UgwT0YzFO-qn53njgC14AaABAg,OMTszkzVSx4,Directed,1
UgzI4rzdhZivjRQsK7B4AaABAg,OMTszkzVSx4,Directed,1
Ugxs3a5LVVg_Fz3QydF4AaABAg,OMTszkzVSx4,Directed,1
Ugy_l0uYKbSrQwwOrmF4AaABAg,OMTszkzVSx4,Directed,1
UgzPdt1GUrnoQ5ql_SV4AaABAg,OMTszkzVSx4,Directed,1
Ugy_P7_g-qieuNHz2b14AaABAg,OMTszkzVSx4,Directed,1
Ugx2p6EuzICxqG-1K494AaABAg,OMTszkzVSx4,Directed,1
UgzWpczATvjDL_oNGLd4AaABAg,OMTszkzVSx4,Directed,1
UgwJqwhjfj1g8V9lQqB4AaABAg,OMTszkzVSx4,Directed,1
UgxvuTw02df0RJI2F2R4AaABAg,OMTszkzVSx4,Directed,1
UgwdGqYlWTIuhBVxm_h4AaABAg,OMTszkzVSx4,Directed,1
UgxRhcPA-7uzze5PljN4AaABAg,OMTszkzVSx4,Directed,1
Ugwzak7r--QVT9Cuc_F4AaABAg,OMTszkzVSx4,Directed,1
UgwOxab_gF4qqm4ffuh4AaABAg,OMTszkzVSx4,Directed,1
Ugwlu3pfRY2XC2hZg_l4AaABAg,OMTszkzVSx4,Directed,1
Ugw3P1rconYav1JOufB4AaABAg,OMTszkzVSx4,Directed,1
Ugy9vzJS5kK35O_exat4AaABAg,OMTszkzVSx4,Directed,1
Ugw4Hbe8LQVG5RYORrN4AaABAg,OMTszkzVSx4,Directed,1
UgylhuA44KuuABEVsSR4AaABAg,OMTszkzVSx4,Directed,1
UgxtF5S613kdmIOzprZ4AaABAg,OMTszkzVSx4,Directed,1
