Source,Target,Type,Weight
CMT_0130,y4vOuRv9jyA,Directed,1
CMT_0131,y4vOuRv9jyA,Directed,1
CMT_0132,y4vOuRv9jyA,Directed,1
CMT_0133,y4vOuRv9jyA,Directed,1
CMT_0134,y4vOuRv9jyA,Directed,1
CMT_0135,y4vOuRv9jyA,Directed,1
CMT_0136,y4vOuRv9jyA,Directed,1
CMT_0137,y4vOuRv9jyA,Directed,1
CMT_0138,y4vOuRv9jyA,Directed,1
CMT_0139,y4vOuRv9jyA,Directed,1
CMT_0140,y4vOuRv9jyA,Directed,1
CMT_0141,y4vOuRv9jyA,Directed,1
CMT_0142,y4vOuRv9jyA,Directed,1
CMT_0143,y4vOuRv9jyA,Directed,1
CMT_0144,y4vOuRv9jyA,Directed,1
CMT_0145,y4vOuRv9jyA,Directed,1
CMT_0146,y4vOuRv9jyA,Directed,1
CMT_0147,y4vOuRv9jyA,Directed,1
CMT_0148,y4vOuRv9jyA,Directed,1
CMT_0149,y4vOuRv9jyA,Directed,1
CMT_0150,KrmqY9hyCCw,Directed,1
CMT_0151,KrmqY9hyCCw,Directed,1
CMT_0152,jNdQb-958hA,Directed,1
CMT_0153,jNdQb-958hA,Directed,1
CMT_0154,jNdQb-958hA,Directed,1
CMT_0155,jNdQb-958hA,Directed,1
CMT_0156,jNdQb-958hA,Directed,1
CMT_0157,jNdQb-958hA,Directed,1
CMT_0158,jNdQb-958hA,Directed,1
CMT_0159,jNdQb-958hA,Directed,1
CMT_0160,jNdQb-958hA,Directed,1
CMT_0161,jNdQb-958hA,Directed,1
CMT_0162,jNdQb-958hA,Directed,1
CMT_0163,jNdQb-958hA,Directed,1
CMT_0164,jNdQb-958hA,Directed,1
CMT_0165,jNdQb-958hA,Directed,1
CMT_0166,jNdQb-958hA,Directed,1
CMT_0167,jNdQb-958hA,Directed,1
CMT_0168,jNdQb-958hA,Directed,1
CMT_0169,jNdQb-958hA,Directed,1
CMT_0170,jNdQb-958hA,Directed,1
CMT_0171,jNdQb-958hA,Directed,1
CMT_0172,jNdQb-958hA,Directed,1
CMT_0173,jNdQb-958hA,Directed,1
CMT_0174,jNdQb-958hA,Directed,1
CMT_0175,jNdQb-958hA,Directed,1
CMT_0176,jNdQb-958hA,Directed,1
CMT_0177,jNdQb-958hA,Directed,1
CMT_0178,jNdQb-958hA,Directed,1
CMT_0179,jNdQb-958hA,Directed,1
CMT_0180,jNdQb-958hA,Directed,1
CMT_0181,jNdQb-958hA,Directed,1
CMT_0182,jNdQb-958hA,Directed,1
CMT_0183,jNdQb-958hA,Directed,1
CMT_0184,jNdQb-958hA,Directed,1
CMT_0185,jNdQb-958hA,Directed,1
CMT_0186,jNdQb-958hA,Directed,1
CMT_0187,jNdQb-958hA,Directed,1
CMT_0188,jNdQb-958hA,Directed,1
CMT_0189,jNdQb-958hA,Directed,1
CMT_0190,jNdQb-958hA,Directed,1
CMT_0191,jNdQb-958hA,Directed,1
CMT_0192,jNdQb-958hA,Directed,1
CMT_0193,jNdQb-958hA,Directed,1
CMT_0194,jNdQb-958hA,Directed,1
CMT_0195,jNdQb-958hA,Directed,1
CMT_0196,jNdQb-958hA,Directed,1
CMT_0197,jNdQb-958hA,Directed,1
CMT_0198,jNdQb-958hA,Directed,1
CMT_0199,jNdQb-958hA,Directed,1
CMT_0200,jNdQb-958hA,Directed,1
CMT_0201,jNdQb-958hA,Directed,1
CMT_0202,jNdQb-958hA,Directed,1
CMT_0203,jNdQb-958hA,Directed,1
CMT_0204,jNdQb-958hA,Directed,1
CMT_0205,jNdQb-958hA,Directed,1
CMT_0206,jNdQb-958hA,Directed,1
CMT_0207,jNdQb-958hA,Directed,1
CMT_0208,jNdQb-958hA,Directed,1
CMT_0209,jNdQb-958hA,Directed,1
CMT_0210,jNdQb-958hA,Directed,1
CMT_0211,jNdQb-958hA,Directed,1
CMT_0212,jNdQb-958hA,Directed,1
CMT_0213,jNdQb-958hA,Directed,1
CMT_0214,jNdQb-958hA,Directed,1
CMT_0215,jNdQb-958hA,Directed,1
CMT_0216,jNdQb-958hA,Directed,1
CMT_0217,jNdQb-958hA,Directed,1
CMT_0218,jNdQb-958hA,Directed,1
CMT_0219,jNdQb-958hA,Directed,1
CMT_0220,jNdQb-958hA,Directed,1
CMT_0221,jNdQb-958hA,Directed,1
CMT_0222,jNdQb-958hA,Directed,1
